id;Latitude;Longitude;cheapness;condition;location;score
33;47.4118882;9.342925790587357;1.0;;7.059924253631893;2.73
34;47.4239388;9.3749572;1.0;;9.766204646809449;3.5
35;47.407574;9.3407163;1.0;9.8;9.711884049991742;5.38
36;47.4173759;9.3575734;10.0;2.7;7.358184832349654;7.28
37;47.4173759;9.3575734;10.0;2.7;7.358184832349654;7.28
38;47.39986655;9.29819031294609;1.0;;9.172386169685625;3.33
39;47.4307531;9.3985367;1.0;;8.009822603487294;3.0
40;47.42804700000001;9.376841492485784;2.0;;6.99936110350813;3.43
41;47.4151379;9.3968099;1.0;5.8;7.300248792292278;3.7
42;47.4199967;9.352511452236849;1.0;8.6;9.89683752684028;5.06
43;47.41128665;9.362471729065351;1.0;9.5;7.552473317149796;4.86
44;47.4130237;9.3327675;1.0;;9.807528767274128;3.52
45;47.4265704;9.3747629;10.0;;7.279057945641838;9.22
46;47.4159382;9.35518729362416;1.0;;7.573748331651661;2.88
47;47.420972;9.3536989;10.0;;8.360530958130035;9.53
48;47.4149142;9.3649828;1.0;;7.014804888867664;2.72
49;47.42721965;9.384756771709387;10.0;3.9;7.164060504490552;7.6
50;47.4294577;9.3778759;9.0;5.0;7.629104408656197;7.53
51;47.40767515;9.36900451277361;10.0;;6.731338445368821;9.07
52;47.4083948;9.34460516013514;1.0;8.3;8.35074510586659;4.66
53;47.43670899999999;9.387012073630412;10.0;2.7;7.522681785076303;7.31
54;47.422085;9.3737548;1.0;;7.722952040070913;2.92
55;47.44044305;9.394414730518168;1.0;9.9;6.947599071595489;4.86
56;47.40467695;9.336652763751472;1.0;8.0;9.70604443098607;4.84
57;47.43602035;9.38802205;10.0;2.7;7.653281374950303;7.34
58;47.420559;9.3643155;10.0;2.7;9.952352309640478;7.8
59;47.4319658;9.3965621;10.0;;6.946082400066537;9.13
60;47.4164172;9.3568565;10.0;;7.998434563472014;9.43
61;47.414316;9.3451157;1.0;10.0;9.877889115234268;5.48
62;47.424066;9.36645615753084;1.0;;8.430292742069351;3.12
63;47.4257163;9.3848239;1.0;;7.3787978085395896;2.82
64;47.4265813;9.3764407;1.0;7.2;7.264986576012344;4.11
65;47.4300383;9.3918085;10.0;;7.271695296902468;9.22
66;47.4248898;9.3835976;10.0;;7.373904533148529;9.25
67;47.4362241;9.401221661818184;1.0;7.0;9.730258492539779;4.55
68;47.4276439;9.3636994;1.0;;9.728649727467928;3.49
69;47.4200722;9.3640779;1.0;2.6;9.237593247170736;3.13
70;47.430229350000005;9.377382350000005;1.0;;7.976065089495129;2.99
71;47.4193462;9.3634905;10.0;;8.764854169729933;9.65
72;47.4365087;9.4073864;10.0;;7.156704700604665;9.19
73;47.4257575;9.3775254;1.0;2.4;7.646917652573295;2.75
74;47.4275693;9.37507615958993;10.0;;6.834253781173052;9.1
75;47.42495605;9.376839889050096;8.0;;9.74877911138028;8.5
76;47.4366752;9.4096441;10.0;;7.388262263522278;9.25
77;47.4343348;9.3844026;1.0;;7.0541555764275525;2.73
78;47.4192433;9.3800353;1.0;;6.98749277716528;2.71
79;47.416401;9.3781262;1.0;;7.5968880349840475;2.88
80;47.4074701;9.3323992;10.0;;8.438074049690423;9.55
81;47.403215200000005;9.32463844863749;1.0;;9.592688432527666;3.46
82;47.40348315;9.3249269406639;1.0;;9.592688432527666;3.46
83;47.403215200000005;9.32463844863749;1.0;;9.592688432527666;3.46
84;47.42698685;9.383898694107646;1.0;;7.157342507894629;2.76
85;47.4188513;9.3536615;2.0;;6.788871424175698;3.37
86;47.42646595;9.38447680871627;1.0;3.7;9.86212024445301;3.58
87;47.41970465;9.363515305950202;1.0;;9.13115094343583;3.32
88;47.44319115;9.395131267245992;1.0;;6.586786154305514;2.6
89;47.42904505;9.39086515255581;1.0;8.4;9.879398777734956;5.0
90;47.4426221;9.3934258;1.0;;9.716374222320102;3.49
91;47.4258516;9.362108474339816;10.0;;7.982525276854209;9.42
92;47.4334796;9.398298409129149;1.0;;7.067728133105203;2.73
93;47.4178168;9.360211722537112;1.0;;7.8617291846303115;2.96
94;47.414792;9.363267860822734;10.0;;7.506664299375929;9.29
95;47.414792;9.363267860822734;10.0;;7.506664299375929;9.29
96;47.4301158;9.397982149999994;10.0;;7.579206842781655;9.31
97;47.4185438;9.3660627;1.0;9.7;7.242675909544534;4.86
98;47.4185438;9.3660627;1.0;;7.242675909544534;2.78
99;47.4185438;9.3660627;1.0;;7.242675909544534;2.78
0;47.4082182;9.3283196;10.0;;7.220678503903258;9.21
1;47.4081917;9.3279299;10.0;;7.244236033207358;9.21
2;47.4162861;9.346183;10.0;;7.0978123002165034;9.17
3;47.4080338;9.3279728;10.0;;6.889442284158559;9.11
4;47.4157746;9.364583;2.0;2.7;7.37506172153136;3.29
5;47.43145165;9.39982772723708;1.0;8.6;8.757880008276969;4.83
6;47.42514205;9.387981591417656;1.0;;7.2145080989288815;2.78
7;47.4366372;9.416649372792683;1.0;;8.393161698790855;3.11
8;47.436454;9.4079607;10.0;;7.373095319171719;9.25
9;47.40188605;9.300429348465151;8.0;;8.571951582099103;8.16
10;47.4364418;9.417565000462428;1.0;;7.82113414810696;2.95
11;47.40200555;9.30012219653716;2.0;;9.718911399316116;4.21
12;47.4335441;9.3719144;1.0;;9.91517206907379;3.55
13;47.4299875;9.3928374;10.0;;7.632744780765728;9.32
14;47.4300587;9.3931429;10.0;;7.700060310302195;9.34
15;47.4249409;9.3774671;1.0;1.0;9.903142587322918;2.78
16;47.41919925;9.352546399901572;10.0;7.2;7.683195603646947;8.7
17;47.4309942;9.3922921;10.0;;7.000493532274431;9.14
18;47.4246429;9.3760055;1.0;;9.9103302019202;3.55
19;47.44115495;9.390661314814086;10.0;;7.963164533337589;9.42
20;47.2288222;8.818598;1.0;;5.5;2.29
21;47.4250593;9.3765878;1.0;;9.90768370994408;3.55
22;47.4284689;9.3782339;1.0;;7.380571834415757;2.82
23;47.43387925;9.37892319383224;10.0;;8.1684104135017;9.48
24;47.4250593;9.3765878;10.0;;9.90768370994408;9.97
25;47.43564985;9.37887920285592;1.0;4.4;8.01131221355745;3.42
26;47.4193966;9.3638557;10.0;;8.609335046551827;9.6
27;47.4193966;9.3638557;10.0;;8.609335046551827;9.6
28;47.4178076;9.345679;10.0;5.1;9.95507074386078;8.52
29;47.43407775;9.39493309289272;10.0;3.5;8.196634435662231;7.69
30;47.4026085;9.3318105;10.0;;8.685427131117706;9.62
31;47.4118355;9.334704;5.0;;7.191951651037726;5.63
32;47.43594635;9.386658863211236;1.0;;6.778141529250368;2.65
33;47.4250593;9.3765878;10.0;;9.90768370994408;9.97
34;47.4248033;9.384963720365851;1.0;6.4;7.1996603871855465;3.86
35;47.4126578;9.350808061064953;10.0;;7.168766784001872;9.19
36;47.430815;9.392561400000002;7.0;;6.8370144259434475;6.95
37;47.4332152;9.394987185249308;10.0;;7.852210861943915;9.39
38;47.4185881;9.366911626830284;10.0;;6.812382678847909;9.09
39;47.43847285;9.38890260610103;10.0;;7.363947092072988;9.25
40;47.4193257;9.351620253033094;10.0;;9.963077318170875;9.99
41;47.3792631;9.535827903836717;1.0;;8.263383048485837;3.08
42;47.4393783;9.39569558321545;10.0;;7.518245993900571;9.29
43;47.43991405;9.4125481;1.0;;9.85377734933035;3.53
44;47.4134903;9.3333067;1.0;;9.925580405994468;3.55
45;47.4379369;9.3882348;2.0;;7.458306117930204;3.56
46;47.424301;9.3792653;10.0;2.2;7.473804416351865;7.15
47;47.4372142;9.418731465028095;1.0;5.8;7.628936879654196;3.77
48;47.4409223;9.3943375;10.0;;7.352414891946368;9.24
49;47.43624915;9.392436753786884;10.0;;8.024449769392485;9.44
50;47.4147224;9.3377813;1.0;8.2;9.941120271386328;4.95
51;47.42599205;9.401426868476952;1.0;2.5;7.81877153962416;2.81
52;47.4029449;9.336454;1.0;7.0;8.056818403150938;4.21
53;47.4239824;9.382896278403123;1.0;;7.655981749608451;2.9
54;47.4159185;9.3654273;10.0;;6.856859940824027;9.1
55;47.4374497;9.3776492;10.0;;7.5520661539774405;9.3
56;47.4244317;9.3806965;1.0;;6.880517356831268;2.68
57;47.4075447;9.3328801;8.0;;8.839894483573985;8.24
58;47.4366391;9.3880174;5.0;;6.994887855570145;5.57
59;47.4403294;9.3909029;10.0;4.1;7.927373149351279;7.82
60;47.40999605;9.366068947994656;9.0;2.7;9.892520074764105;7.29
61;47.43196325;9.3929673588133;1.0;6.2;9.924322610883237;4.34
62;47.42073595;9.354283340819643;1.0;2.7;7.85285334482584;2.88
63;47.4187627;9.3514114;10.0;;7.727028119370454;9.35
64;47.4151377;9.3966429;1.0;5.8;7.483340695517727;3.74
65;47.438776;9.3905393;1.0;;7.017764949181084;2.72
66;47.43608585;9.403601650000004;5.0;;6.997831619183286;5.57
67;47.41942985;9.3530144;1.0;;7.5181524522255145;2.86
68;47.41334985;9.353958193421594;10.0;;7.20270180937888;9.2
69;47.4183838;9.367152817431275;10.0;;6.7213522478956484;9.06
70;47.4018579;9.3028414;1.0;8.7;9.724985899687786;5.05
71;47.4307844;9.3983652;10.0;;8.265468651351254;9.5
72;47.4319431;9.393447850000005;10.0;;9.926033020524848;9.98
73;47.4180125;9.3603649;1.0;;7.815799862454535;2.95
74;47.4356427;9.4111555;10.0;4.3;9.871583282837586;8.26
75;47.42465965;9.372460509462734;1.0;;7.047128563191558;2.73
76;47.423924150000005;9.362622599999998;1.0;;7.703806677994326;2.92
77;47.4129641;9.352226700000005;10.0;;7.316148381877297;9.23
78;47.4408448;9.3941372;1.0;2.2;7.123573487497841;2.58
79;47.4315627;9.3939302;1.0;;7.638869535973878;2.9
80;47.41756175;9.35738025;10.0;7.6;7.864025379582657;8.85
81;47.4207826;9.3561663;9.0;2.7;7.419796692619926;6.79
82;47.4244254;9.3806033;10.0;;6.877778280490212;9.11
83;47.4301751;9.3804861;8.0;;7.342984940279306;7.81
84;47.4185994;9.3616311;1.0;;7.893102427958109;2.97
85;47.4130725;9.354494845471296;1.0;;7.678952202975502;2.91
86;47.42633255;9.361973024803374;1.0;;8.329044306201986;3.09
87;47.4064793;9.3357977;1.0;;7.423378856630492;2.84
88;47.4250593;9.3765878;1.0;;9.90768370994408;3.55
89;47.40744465;9.33434595;10.0;2.7;8.443232042378732;7.5
90;47.4117635;9.3439214;6.0;;7.781082740641185;6.51
91;47.4213288;9.3536423;10.0;;8.43108422381491;9.55
92;47.4368506;9.392329660848308;10.0;;9.94262609087291;9.98
93;47.4190571;9.35286884616826;10.0;2.7;7.313525715808192;7.27
94;47.435933;9.4034999;10.0;;6.694519505517288;9.06
95;47.4297973;9.4003237;1.0;;9.902712738314914;3.54
96;47.4074864;9.329088368784532;10.0;;7.39210504810877;9.25
97;47.4248494;9.3786762;1.0;4.4;8.008099242007841;3.42
98;47.4331689;9.40416813841948;10.0;;7.470066939038677;9.28
99;47.4370334;9.388326800000003;1.0;;7.0383754807484475;2.73
0;47.42683165;9.377498787580445;1.0;;7.401984785475156;2.83
1;47.4361738;9.4060493;1.0;;7.968912638505381;2.99
2;47.4174655;9.3521377;10.0;;7.652432246152905;9.33
3;47.4022619;9.3375108;1.0;7.0;9.905832899387105;4.58
4;47.4247879;9.36730015;1.0;;7.9791206680872895;2.99
5;47.4289654;9.3928703;10.0;;7.737970811369335;9.35
6;47.4398936;9.39524;10.0;;7.057599037913209;9.16
7;47.402640700000006;9.32537744768145;1.0;;9.897364979190144;3.54
8;47.440449150000006;9.39511926675666;1.0;;7.676509237350393;2.91
9;47.418418200000005;9.35725255863732;1.0;;7.680317842454558;2.91
10;47.424736;9.3755166;1.0;;9.944409933277445;3.56
11;47.44115;9.39136214829974;1.0;5.5;7.499551810171798;3.65
12;47.44058215;9.394224427409783;10.0;;7.022808149165964;9.15
13;47.4354742;9.37208735;10.0;;9.939514984712487;9.98
14;47.41248335;9.352420169589006;1.0;;8.056901526949183;3.02
15;47.4175746;9.3813462;10.0;2.7;7.455299337882781;7.3
16;47.41955925;9.3514868;10.0;2.7;9.983787556578948;7.81
17;47.4105875;9.368821507247258;1.0;8.5;9.927357175681664;5.04
18;47.4365415;9.378895;5.0;;8.147413326671348;5.9
19;47.4365415;9.378895;4.0;;8.147413326671348;5.18
20;47.0430286;9.4435159;10.0;;5.5;8.71
21;47.4348772;9.37808855;1.0;2.3;7.8590897877412385;2.76
22;47.4365145;9.3861497;10.0;;9.975600418233547;9.99
23;47.43463555;9.396201842472788;10.0;;7.348414084933405;9.24
24;47.42721965;9.384756771709387;10.0;3.9;7.266186146687367;7.62
